排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
29 - 台特化(4772),1,元大,526,500,26
29 - 台特化(4772),2,凱基,332,367,-35
29 - 台特化(4772),3,富邦,228,369,-141
29 - 台特化(4772),4,群益,133,187,-54
29 - 台特化(4772),5,星洲瑞銀,152,163,-11
29 - 台特化(4772),6,國泰綜合,183,132,51
29 - 台特化(4772),7,台新,100,215,-115
29 - 台特化(4772),8,元富,162,89,73
29 - 台特化(4772),9,兆豐,101,104,-3
29 - 台特化(4772),10,永豐金,112,91,21
30 - 萬潤(6187),1,元大,498,295,203
30 - 萬潤(6187),2,凱基,243,512,-269
30 - 萬潤(6187),3,摩根士丹利,0,519,-519
30 - 萬潤(6187),4,台灣匯立,308,0,308
30 - 萬潤(6187),5,富邦,204,99,105
30 - 萬潤(6187),6,永豐金,153,107,46
30 - 萬潤(6187),7,美商高盛亞,60,190,-130
30 - 萬潤(6187),8,國泰綜合,137,111,26
30 - 萬潤(6187),9,美林證券,11,205,-194
30 - 萬潤(6187),10,統一,44,128,-84
